[psadmin@centos80 gconf]$ goweight
   34 MB github.com/vmware/govmomi/vim25/types
  4.9 MB github.com/vmware/govmomi/vim25/methods
  4.6 MB github.com/vmware/govmomi/object
  3.9 MB net/http
  3.5 MB runtime
  1.8 MB net
  1.7 MB crypto/tls
  1.5 MB golang.org/x/sys/unix
  1.4 MB reflect
  1.2 MB github.com/vmware/govmomi/vim25/mo
  1.0 MB github.com/urfave/cli
  966 kB math/big
  838 kB syscall
  743 kB crypto/x509
  688 kB text/template
  677 kB github.com/vmware/govmomi/find
  670 kB github.com/vmware/govmomi/vim25/xml
  652 kB encoding/xml
  641 kB github.com/BurntSushi/toml
  639 kB encoding/json
  631 kB github.com/russross/blackfriday/v2
  618 kB text/template/parse
  603 kB vendor/golang.org/x/net/dns/dnsmessage
  523 kB vendor/golang.org/x/text/unicode/norm
  479 kB github.com/sirupsen/logrus
  463 kB time
  448 kB fmt
  434 kB regexp/syntax
  427 kB internal/reflectlite
  411 kB os
  409 kB regexp
  388 kB github.com/vmware/govmomi/vim25/soap
  359 kB compress/flate
  327 kB net/http/httputil
  323 kB github.com/tidwall/gjson
  319 kB crypto/elliptic
  302 kB vendor/golang.org/x/crypto/cryptobyte
  298 kB encoding/asn1
  285 kB strconv
  283 kB vendor/golang.org/x/text/unicode/bidi
  280 kB strings
  264 kB github.com/vmware/govmomi
  257 kB os/exec
  243 kB internal/poll
  237 kB github.com/vmware/govmomi/vim25
  230 kB unicode
  226 kB vendor/golang.org/x/net/idna
  222 kB flag
  218 kB mime
  218 kB math
  212 kB github.com/vmware/govmomi/property
  212 kB bytes
  205 kB vendor/golang.org/x/net/http2/hpack
  199 kB github.com/vmware/govmomi/session
  195 kB github.com/vmware/govmomi/list
  188 kB github.com/vmware/govmomi/nfc
  185 kB crypto/rsa
  184 kB encoding/binary
  184 kB crypto/ed25519/internal/edwards25519
  183 kB html
  178 kB bufio
  176 kB mime/multipart
  174 kB net/url
  172 kB net/textproto
  165 kB sync
  147 kB crypto/cipher
  142 kB io
  131 kB github.com/vmware/govmomi/vim25/progress
  122 kB vendor/golang.org/x/crypto/chacha20poly1305
  117 kB sort
  116 kB math/rand
  112 kB vendor/golang.org/x/text/transform
  111 kB github.com/Songmu/timeout
  110 kB context
  110 kB runtime/cgo
  106 kB net/http/cookiejar
  106 kB crypto/aes
  106 kB github.com/getperf/getperf2/exp/vm/vmwareconf
  106 kB crypto/ecdsa
  104 kB path/filepath
   81 kB crypto/sha512
   80 kB vendor/golang.org/x/net/http/httpproxy
   80 kB encoding/base64
   76 kB github.com/pkg/errors
   75 kB crypto/x509/pkix
   75 kB compress/gzip
   74 kB github.com/getperf/getperf2/exp/os/windowsconf
   73 kB io/ioutil
   72 kB crypto/sha256
   72 kB github.com/tidwall/pretty
   70 kB crypto/rand
   68 kB crypto/sha1
   68 kB net/http/internal
   66 kB text/tabwriter
   61 kB log
   61 kB net/http/httptrace
   60 kB container/list
   59 kB hash/crc32
   59 kB github.com/getperf/getperf2/common
   58 kB github.com/getperf/getperf2/gcmain
   56 kB vendor/golang.org/x/crypto/internal/chacha20
   56 kB github.com/getperf/getperf2/cfg
   56 kB encoding/pem
   55 kB github.com/vmware/govmomi/vim25/debug
   55 kB github.com/vmware/govmomi/task
   54 kB crypto/des
   53 kB github.com/cpuguy83/go-md2man/v2/md2man
   52 kB github.com/Songmu/wrapcommander
   50 kB internal/fmtsort
   50 kB vendor/golang.org/x/sys/cpu
   49 kB encoding/hex
   49 kB crypto/md5
   47 kB mime/quotedprintable
   47 kB vendor/golang.org/x/crypto/poly1305
   45 kB crypto/dsa
   45 kB vendor/golang.org/x/text/secure/bidirule
   43 kB internal/cpu
   40 kB math/bits
   36 kB crypto/ed25519
   34 kB path
   33 kB vendor/golang.org/x/crypto/curve25519
   33 kB vendor/golang.org/x/net/http/httpguts
   31 kB internal/singleflight
   27 kB unicode/utf8
   27 kB errors
   26 kB crypto
   20 kB sync/atomic
   20 kB github.com/getperf/getperf2/exp
   17 kB crypto/rc4
   16 kB github.com/tidwall/match
   16 kB internal/bytealg
   15 kB internal/syscall/unix
   15 kB runtime/internal/atomic
   15 kB internal/testlog
   14 kB hash
   14 kB vendor/golang.org/x/crypto/hkdf
   14 kB crypto/hmac
   12 kB runtime/internal/sys
  9.0 kB crypto/internal/randutil
  8.5 kB unicode/utf16
  7.7 kB vendor/golang.org/x/crypto/cryptobyte/asn1
  7.1 kB encoding
  6.6 kB crypto/subtle
  4.9 kB github.com/shurcooL/sanitized_anchor_name
  4.4 kB internal/nettrace
  4.2 kB internal/race
  3.7 kB vendor/golang.org/x/crypto/internal/subtle
  3.4 kB crypto/internal/subtle
  2.8 kB internal/syscall/execenv
  2.6 kB internal/oserror
  1.7 kB runtime/internal/math
  1.0 kB github.com/getperf/getperf2/exp/all
  
